Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Nate Prosser,PHI,700000,R,D,3,1,0,1,-2,0,0.33,1,1,0,0,0,0,0,0,2,822
William Lagesson,EDM,700000,L,D,11,0,2,2,6,2,0.18,0,2,0,0,0,0,0,0,7,867
Joel Hanley,DAL,700000,L,D,12,0,1,1,1,0,0.08,0,1,0,0,0,0,0,0,14,716
Brad Hunt,MIN,700000,L,D,7,1,0,1,-2,2,0.14,1,1,0,0,0,0,0,1,9,568
Zack MacEwen,VAN,700000,R,C,16,1,0,1,1,17,0.06,1,1,0,0,0,0,0,0,16,469
Matt Luff,LAK,700000,R,R,10,1,0,1,-3,5,0.1,1,1,0,0,0,0,0,0,14,612
Alexandre Carrier,NSH,700000,R,D,5,1,0,1,-6,2,0.2,1,1,0,0,0,0,0,0,13,1176
Anthony Angello,PIT,700000,R,C,8,1,0,1,1,2,0.13,1,1,0,0,0,0,0,0,6,458
Nathan Walker,STL,700000,L,L,6,1,0,1,-3,2,0.17,1,1,0,0,0,0,0,0,9,839
Nikita Nesterov,CGY,700000,L,D,21,0,1,1,-8,10,0.05,0,1,0,0,0,0,0,0,18,918
Sam Lafferty,PIT,700000,R,C,17,0,1,1,-8,8,0.06,0,1,0,0,0,0,0,0,15,505
Kyle Rau,MIN,700000,L,C,7,0,1,1,-1,5,0.14,0,1,0,0,0,0,0,0,13,507
Fredrik Claesson,SJS,700000,L,D,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,694
Michael Chaput,ARI,700000,L,C,9,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,2,593
Sami Niku,WPG,700000,L,D,6,0,0,0,-3,8,0,0,0,0,0,0,0,0,0,2,778
Jansen Harkins,WPG,700000,L,C,12,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,7,478
Jalen Chatfield,VAN,700000,R,D,9,0,0,0,-7,6,0,0,0,0,0,0,0,0,0,8,858
Brandon Davidson,BUF,700000,L,D,5,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,6,903
Joel L'Esperance,DAL,700000,R,C,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,586
Jarred Tinordi,"NSH,BOS",700000,L,D,13,0,0,0,-1,9,0,0,0,0,0,0,0,0,0,13,1044
Ben Harpur,NSH,700000,L,D,9,0,0,0,-5,4,0,0,0,0,0,0,0,0,0,11,978
Frederic Allard,NSH,700000,R,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1019
Kurtis Gabriel,SJS,700000,R,R,6,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,475
Patrick Brown,VGK,700000,R,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,516
Marc Michaelis,VAN,700000,L,L,5,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,1,661
Joakim Nordstrom,CGY,700000,L,C,23,0,0,0,-3,6,0,0,0,0,0,0,0,0,0,18,609
